,Unit Id,Grand total,Black total,Hispanic total,Grand total women,Year,UNITID,HRTOTLT,DVHRBKT,DVHRHST,HRBKAAT,HRTOTLW,HRHISPT
16993,145521.0,45.0,0.0,0.0,32.0,2002,,,,,,,
17037,145628.0,40.0,0.0,0.0,19.0,2002,,,,,,,
17078,145646.0,186.0,6.0,8.0,106.0,2002,,,,,,,
17130,145682.0,182.0,8.0,1.0,103.0,2002,,,,,,,
17180,145691.0,58.0,1.0,2.0,41.0,2002,,,,,,,
17213,145707.0,42.0,0.0,0.0,20.0,2002,,,,,,,
17253,145725.0,361.0,7.0,6.0,293.0,2002,,,,,,,
17313,145770.0,21.0,1.0,0.0,7.0,2002,,,,,,,
17346,145813.0,813.0,28.0,10.0,453.0,2002,,,,,,,
17411,145831.0,82.0,0.0,0.0,38.0,2002,,,,,,,
17461,146205.0,101.0,3.0,1.0,48.0,2002,,,,,,,
17506,146241.0,52.0,3.0,1.0,35.0,2002,,,,,,,
17549,146278.0,50.0,0.0,1.0,22.0,2002,,,,,,,
17596,146296.0,168.0,5.0,4.0,94.0,2002,,,,,,,
17637,146348.0,51.0,1.0,0.0,25.0,2002,,,,,,,
17685,146366.0,68.0,1.0,0.0,37.0,2002,,,,,,,
17731,146393.0,30.0,1.0,0.0,18.0,2002,,,,,,,
17775,146418.0,72.0,0.0,0.0,37.0,2002,,,,,,,
17823,146427.0,96.0,6.0,2.0,58.0,2002,,,,,,,
17869,146472.0,176.0,14.0,6.0,84.0,2002,,,,,,,
17913,146506.0,109.0,0.0,0.0,56.0,2002,,,,,,,
17966,146603.0,79.0,4.0,0.0,43.0,2002,,,,,,,
18013,146667.0,53.0,0.0,0.0,41.0,2002,,,,,,,
18057,146676.0,50.0,0.0,0.0,25.0,2002,,,,,,,
18092,146685.0,118.0,7.0,0.0,63.0,2002,,,,,,,
18140,146728.0,20.0,3.0,3.0,12.0,2002,,,,,,,
18181,146755.0,10.0,0.0,1.0,0.0,2002,,,,,,,
18208,146825.0,45.0,0.0,0.0,25.0,2002,,,,,,,
18252,147004.0,87.0,1.0,4.0,47.0,2002,,,,,,,
18299,147013.0,65.0,2.0,0.0,37.0,2002,,,,,,,
18342,147244.0,159.0,2.0,3.0,92.0,2002,,,,,,,
18386,147378.0,161.0,5.0,0.0,75.0,2002,,,,,,,
18433,147396.0,9.0,0.0,0.0,5.0,2002,,,,,,,
18456,147411.0,48.0,0.0,1.0,25.0,2002,,,,,,,
18500,147590.0,54.0,2.0,0.0,44.0,2002,,,,,,,
18548,147660.0,113.0,1.0,4.0,61.0,2002,,,,,,,
18588,147800.0,137.0,2.0,1.0,58.0,2002,,,,,,,
18633,147916.0,172.0,9.0,2.0,93.0,2002,,,,,,,
18678,148007.0,79.0,9.0,2.0,37.0,2002,,,,,,,
18722,148131.0,58.0,1.0,1.0,39.0,2002,,,,,,,
18761,148168.0,9.0,0.0,0.0,0.0,2002,,,,,,,
18778,148177.0,56.0,0.0,0.0,29.0,2002,,,,,,,
18817,148256.0,67.0,0.0,1.0,39.0,2002,,,,,,,
18861,148292.0,67.0,0.0,1.0,35.0,2002,,,,,,,
18906,148335.0,129.0,14.0,3.0,69.0,2002,,,,,,,
