,Unit Id,Grand total enrolled,Black total enrolled,Hispanic total enrolled,Total women enrolled,Year
49893,139968,2686,1187,105,1783,2017
49894,139986,1487,610,87,921,2017
49895,139995,249,170,0,142,2017
49896,140003,142,88,22,124,2017
49897,140012,1781,541,255,903,2017
49898,140234,888,185,11,447,2017
49899,140243,1053,80,161,578,2017
49900,140252,624,156,75,325,2017
49901,140331,2732,676,331,1392,2017
49902,140340,365,261,13,265,2017
49903,140447,4135,1053,233,2487,2017
49904,140553,2090,1961,14,0,2017
49905,140678,947,79,49,483,2017
49906,140696,1166,271,124,694,2017
49907,140720,328,287,12,170,2017
49908,140818,1160,107,87,751,2017
49909,140827,48,12,5,30,2017
49910,140872,1260,247,102,586,2017
49911,140942,1421,558,120,746,2017
49912,140951,9013,937,682,6100,2017
49913,140960,3687,3041,276,2194,2017
49914,140988,1140,308,69,635,2017
49915,141006,941,482,17,445,2017
49916,141015,203,19,15,115,2017
49917,141060,2086,2020,2,2086,2017
49918,141167,438,62,35,215,2017
49919,141185,872,68,45,481,2017
49920,141237,780,59,34,437,2017
49921,141255,909,293,62,566,2017
49922,141264,7166,2788,476,4415,2017
49923,141325,431,114,25,431,2017
